SampleID,MASSFLOW,TIN,POWERIN,RHO_LBE,Cp_LBE,K_LBE,MU_LBE,DEVAR,XI_0,XI_1,XI_2,XI_3,XI_4,XI_5,XI_6,XI_7,XI_8,XI_9,XI_10,XI_11,XI_12,XI_13,XI_14,XI_15,XI_16,XI_17,XI_18,XI_19
0,1.3057962085234933,508.0846788218785,3992.1350736878926,10717.356454893918,120.41080127440088,7.092938736103597,0.0004600423086766053,1.0628307019362553,1.339981156412249,-0.7089934445868813,-0.4301946739915593,-0.943331138652036,-0.7810035796951834,2.0102713030885804,0.0047677528620805485,0.08721533601893813,0.041622769925804715,-0.26440614220357583,-0.8450827824572579,1.8196867230878517,1.1638380691864683,-2.4131830933444114,1.5002952437777242,0.6877769107058175,0.7554546413711611,-1.115821675325118,-0.5631498870559992,-0.583287481150633
1,1.329328097001964,506.42310706154586,3928.656209622444,10677.317167322357,115.6987315926352,7.342358474409549,0.00044581410043846576,-0.0879313103185489,-0.9477531616300164,-0.7430113670073039,0.8307593125349995,-1.5191323676550126,0.7862834405803042,-0.631753338815381,-0.6327480969243794,-1.0440817084289347,-0.9393316374250107,-0.06160510302782493,0.606217557370056,-1.4895993665941882,-0.16982425188107111,-0.10950454289908039,-0.19237346962127425,0.42743844065885317,0.050234232949435076,-0.10896247803514071,-1.373414481307208,-0.42100169111152447
2,1.2942723801139848,508.7060343986957,4109.541407937403,10774.226832428712,114.72744532461367,7.815286014945018,0.00045714752482643863,-0.4197571834088361,1.6304883869472477,0.9682919703480064,0.4814003649655643,-0.6056704941428344,1.794078755529092,0.7923851712911213,0.2584286876909796,0.5273671875622904,0.2538667184537418,0.5078254604645767,-0.24731877448959677,-0.581357130972285,-0.5024579443924443,1.4678095034449548,-0.708557315128255,0.0712032065529781,-0.12540966865954997,1.1515203823068954,0.40880628827761933,-1.036168045679788
3,1.3120412170337983,508.1183120329664,4085.5279785360344,10708.539896559343,116.33560146674503,6.613401824349514,0.0004337980791449459,-0.9373381560149349,-1.2044221534435315,-0.467854698232436,1.20312981613763,1.3907960856498285,-0.3693047411386326,1.7170113707615096,-1.1233642092541292,0.47342965694280403,0.23509367458420471,-0.06610634126994332,0.19648454155048525,-2.0958005132296034,-0.7737411102541718,-0.2719090547841297,-0.3492925439765616,0.6388393678531588,-1.6352959333468196,1.918817808391459,0.10157155214044286,1.2476049772433666
4,1.3267612892464937,507.48061238166457,3911.1282244003087,10687.489308034126,121.68004453930331,6.490771079343904,0.0004372327061070471,1.4645960955901804,-0.14708052146184497,0.5691408494769983,1.3881008242244328,0.5270023701791933,-0.2076945370162693,0.04235302931062148,-0.024189856501919797,-1.0162072940809812,-0.7495889540290803,-0.1910264866172759,1.1401347142512752,-0.13381608202675807,-1.0367460662400574,-0.20913520566996335,0.4269998961063884,0.5687065075814112,-0.5038449051030773,0.15340846102126782,-0.19099669729820687,-0.4914684367259956
5,1.3108034569228957,507.908101843104,4055.089499006811,10738.642247367095,119.95658303966765,7.006646342209839,0.00040299713201512387,-0.7269635665393962,-1.4044808649611573,1.4734389144778106,-0.050898863384981466,1.0920468531378384,-0.8441721206755347,0.8548700823107512,0.7102580824624908,-0.39084532310103104,1.5465803070428081,-0.3217603743314466,-0.12859127463002926,-0.38189915987337514,-0.5518187971663631,-0.8217627711654601,-0.49425279675367245,-0.3457246804981679,-0.7704236404344255,-0.47057049284933183,-2.1520171118175275,-0.07702737202475753
6,1.3031075121557554,507.9940248209431,4098.70672994577,10705.945777885572,121.95776750593465,7.421179406552056,0.00042373012703328546,-0.2991581924654246,-0.6874921689005962,0.6581273388690145,0.25812904421814054,-1.3588925295287841,-0.4121819378627916,0.6936668847928582,0.9984915623339412,-0.44829075581006766,-0.0038216068285797282,0.18741912575277442,0.2988967969079385,-0.28183135605540105,0.39359056272545423,0.3843104779317409,1.8869442848720435,1.648006931889625,1.2334236317908598,1.7792148308098332,-0.9295140607041318,-0.7860531498264652
7,1.3151054865886307,508.76739763600654,4199.622878511657,10668.47825645166,114.21062978289756,7.383662686764089,0.0004805748927748774,0.947007220679105,0.056801205892783334,-1.59316809441415,1.5289936582250032,-0.08504028865606528,-1.2672486044793922,-2.344088576347527,0.38012559311742566,-0.22819114340150085,-1.067466449805781,0.6477406290733793,-0.04277413925924064,-1.548863716810355,1.966380698893368,1.088293987889917,-0.4344142849616283,0.8801947477260305,-0.596104114990885,1.5728988330247933,-1.230571210928802,0.3680797750011312
8,1.3037889897171502,508.73426278570753,4061.6880831034973,10715.781675076381,116.07019137722844,7.796322058860085,0.0004162281791886477,-1.1546834492856652,0.13190358876381694,-0.22982174181788023,0.5650988337073427,0.006486975780441325,0.4683952485667769,-1.5152002851048776,2.6618868448137634,0.8147876449404736,0.10051119652454338,0.31436335261182924,-2.0697337850912243,0.7811925498492843,0.5760491046511795,0.03145482928363643,0.6430178364157109,-0.770771097377793,0.6141942619381761,0.11151857372190965,-0.7342458895221786,0.24328665884376113
9,1.319255973966544,509.02593309689183,3891.901581037504,10746.304376377491,109.86417503033273,7.910220373013473,0.000443164396822902,-0.36094351532881386,-0.4093700236272426,0.15614132361028443,-3.9496563438713013,-0.7360772632435624,-0.582744914034443,0.8985961171075514,-2.010021102724373,-0.052134722734154613,-1.462632325054777,0.03219290228813106,-0.3925691690478431,1.2648266509949826,-1.2452088328747117,-0.4077099076507377,-1.477663635602754,2.2549963102581985,0.4678809801341885,0.20244557554200324,-0.14306022803019788,1.350706315230735
